Date,pepsi,coke
2020-01-02,46.06641387939453,114.22039031982422
2020-01-03,45.815086364746094,114.06060791015625
2020-01-06,45.798343658447266,114.4979019165039
2020-01-07,45.44649124145508,112.69822692871094
2020-01-08,45.5302619934082,113.27848815917969
2020-01-09,46.35960388183594,113.35417938232422
2020-01-10,46.51877975463867,113.13550567626953
2020-01-13,47.02141571044922,114.81746673583984
2020-01-14,46.912506103515625,115.08660125732422
2020-01-15,47.4989128112793,117.06287384033203
2020-01-16,47.599449157714844,117.40764617919922
2020-01-17,47.69996643066406,118.79522705078125
2020-01-21,47.892642974853516,119.29981231689453
2020-01-22,48.261253356933594,120.57810974121094
2020-01-23,48.4455451965332,120.80517578125
2020-01-24,48.319889068603516,120.19123840332031
2020-01-27,48.152347564697266,119.53532409667969
2020-01-28,47.758602142333984,119.78759765625
2020-01-29,47.758602142333984,119.19050598144531
2020-01-30,49.30839920043945,120.95655059814453
2020-01-31,48.92304611206055,119.4344253540039
2020-02-03,49.0738410949707,119.84645080566406
2020-02-04,49.291648864746094,120.44355773925781
2020-02-05,49.300018310546875,121.35179138183594
2020-02-06,49.41730880737305,121.37701416015625
2020-02-07,49.5848503112793,122.25161743164062
2020-02-10,50.05397415161133,122.4955062866211
2020-02-11,49.91994094848633,122.84870147705078
2020-02-12,49.769142150878906,122.84870147705078
2020-02-13,49.93669509887695,123.17671203613281
2020-02-14,50.221519470214844,123.614013671875
2020-02-18,49.869667053222656,122.44507598876953
2020-02-19,50.07072448730469,122.38616943359375
2020-02-20,50.02885055541992,122.07503509521484
2020-02-21,50.372310638427734,122.65531158447266
2020-02-24,49.132484436035156,119.9558334350586
2020-02-25,48.43716049194336,118.66072082519531
2020-02-26,48.252864837646484,119.4007568359375
2020-02-27,46.016151428222656,114.68291473388672
2020-02-28,44.8098258972168,111.03311157226562
2020-03-02,46.84548568725586,115.70048522949219
2020-03-03,46.962772369384766,114.01856231689453
2020-03-04,49.35865783691406,119.74555969238281
2020-03-05,47.532413482666016,116.9219741821289
2020-03-06,46.292598724365234,116.2108154296875
2020-03-09,43.444332122802734,110.19961547851562
2020-03-10,44.95223617553711,113.56927490234375
2020-03-11,43.7375373840332,109.85248565673828
2020-03-12,39.50703811645508,97.65229797363281
2020-03-13,40.9605598449707,107.90520477294922
2020-03-16,38.24788284301758,95.74732971191406
2020-03-17,39.87042236328125,108.1337890625
2020-03-18,37.901397705078125,102.3765869140625
2020-03-19,35.34929275512695,99.34559631347656
2020-03-20,32.36619186401367,87.99205780029297
2020-03-23,31.7408390045166,89.05035400390625
2020-03-24,33.338016510009766,96.38233184814453
2020-03-25,35.163387298583984,95.24781799316406
2020-03-26,37.42815399169922,101.81780242919922
2020-03-27,36.17745590209961,101.98713684082031
2020-03-30,38.02815246582031,106.23731994628906
2020-03-31,37.39435577392578,101.68231964111328
2020-04-01,35.5943603515625,100.0059814453125
2020-04-02,37.140838623046875,104.86572265625
2020-04-03,37.03943634033203,105.48377990722656
2020-04-06,39.43941879272461,111.04624938964844
2020-04-07,39.30421447753906,110.47050476074219
2020-04-08,40.4112548828125,112.27388000488281
2020-04-09,41.408451080322266,113.1374740600586
2020-04-13,39.659156799316406,110.81764221191406
2020-04-14,41.34084701538086,117.1760025024414
2020-04-15,40.23379135131836,114.32278442382812
2020-04-16,39.80281066894531,114.83924102783203
2020-04-17,40.614078521728516,116.45630645751953
2020-04-20,39.32112121582031,113.9163818359375
2020-04-21,38.34929275512695,110.85999298095703
2020-04-22,38.60280990600586,112.28235626220703
2020-04-23,38.087318420410156,110.28424835205078
2020-04-24,38.39154052734375,113.75552368164062
2020-04-27,39.532386779785156,113.8402099609375
2020-04-28,39.49858474731445,115.41495513916016
2020-04-29,39.81970977783203,112.90888214111328
2020-04-30,38.780277252197266,112.0029525756836
2020-05-01,38.53519821166992,110.18265533447266
2020-05-04,38.14647674560547,110.84305572509766
2020-05-05,38.366188049316406,111.47803497314453
2020-05-06,37.81690216064453,110.72454833984375
2020-05-07,37.690128326416016,111.37644958496094
2020-05-08,38.9661865234375,113.64546966552734
2020-05-11,38.484500885009766,113.77246856689453
2020-05-12,37.87604522705078,112.55328369140625
2020-05-13,37.13238525390625,112.57022857666016
2020-05-14,36.9295768737793,112.67180633544922
2020-05-15,36.557743072509766,115.10166931152344
2020-05-18,38.002803802490234,114.73763275146484
2020-05-19,37.639427185058594,111.52884674072266
2020-05-20,38.780277252197266,111.13091278076172
2020-05-21,38.17182540893555,110.241943359375
2020-05-22,38.053504943847656,110.47050476074219
2020-05-26,38.949283599853516,109.85248565673828
2020-05-27,39.49013900756836,110.74993896484375
2020-05-28,39.79436492919922,112.0029525756836
2020-05-29,39.4478874206543,111.37644958496094
2020-06-01,39.7098503112793,112.59563446044922
2020-06-02,39.633792877197266,112.29082489013672
2020-06-03,40.4788703918457,112.45171356201172
2020-06-04,40.495765686035156,111.40479278564453
2020-06-05,41.484500885009766,113.00032043457031
2020-06-08,42.12675476074219,112.80406951904297
2020-06-09,41.408451080322266,113.45254516601562
2020-06-10,41.087310791015625,114.4422607421875
2020-06-11,38.484500885009766,109.07549285888672
2020-06-12,38.88528823852539,110.06523132324219
2020-06-15,39.48221206665039,111.32799530029297
2020-06-16,39.88301467895508,112.34332275390625
2020-06-17,39.720985412597656,112.42012786865234
2020-06-18,40.07061004638672,113.29039764404297
2020-06-19,39.24345016479492,112.01057434082031
2020-06-22,39.00468444824219,111.81433868408203
2020-06-23,38.91940689086914,112.07881927490234
2020-06-24,38.0751838684082,110.54303741455078
